Rank,Zip_Code,Population,lat_long
588,12198,"7,772","42.672453, -73.632704"
589,10547,"7,737","41.308707, -73.855615"
590,11516,"7,670","40.627479, -73.727879"
591,12204,"7,628","42.691525, -73.733797"
592,14903,"7,584","42.131632, -76.871851"
593,11705,"7,565","40.743277, -73.055841"
594,14464,"7,555","43.326618, -77.929685"
595,10533,"7,551","41.039478, -73.850709"
596,14470,"7,548","43.205212, -78.057685"
597,14141,"7,497","42.518547, -78.700622"
598,11557,"7,480","40.635065, -73.691343"
599,14428,"7,439","43.077283, -77.872558"
600,11963,"7,430","40.989760, -72.315663"
601,14589,"7,426","43.249424, -77.174261"
602,14209,"7,410","42.916573, -78.865781"
603,12983,"7,371","44.218046, -74.206563"
604,10994,"7,326","41.098072, -73.972649"
605,12018,"7,324","42.628833, -73.520770"
606,12570,"7,322","41.613737, -73.670422"
607,14085,"7,306","42.716594, -78.930821"
608,11933,"7,302","40.917015, -72.754074"
609,11507,"7,286","40.770879, -73.652364"
610,13403,"7,258","43.164533, -75.267645"
611,13029,"7,243","43.221243, -76.144434"
612,10607,"7,194","41.039089, -73.811368"
613,13077,"7,135","42.711074, -76.206959"
614,14886,"7,130","42.505751, -76.684980"
615,14414,"7,101","42.890961, -77.743757"
616,10507,"7,068","41.232590, -73.692641"
617,10590,"7,060","41.255441, -73.539322"
618,10007,"7,023","40.713973, -74.008336"
619,12428,"7,022","41.734369, -74.457205"
620,12564,"6,995","41.577105, -73.589238"
621,11363,"6,952","40.772591, -73.746472"
622,14489,"6,923","43.088381, -76.994347"
623,12184,"6,871","42.420039, -73.653177"
624,12158,"6,852","42.542092, -73.822124"
625,14070,"6,847","42.419658, -78.917725"
626,12077,"6,823","42.588163, -73.777695"
627,14514,"6,821","43.122159, -77.810679"
628,14779,"6,785","42.137151, -78.741310"
629,11709,"6,708","40.908648, -73.560926"
630,13135,"6,689","43.248350, -76.332359"
